5.4.3.3|5.4.3.4	59413
5.4.3.2|5.4.3.9	8470
3.6.3.54|3.6.3.8	1187
3.6.3.12|3.6.3.8	513
3.6.3.12|3.6.3.54	641
1.4.1.2|1.4.1.3	874
6.1.1.12|6.1.1.23	857
3.6.3.19|3.6.3.20	577
4.2.1.2|4.3.1.1	486
4.1.2.13|4.1.2.40	206
2.6.1.81|2.6.1.82	813
2.5.1.48|4.4.1.8	536
2.4.2.2|2.4.2.4	575
1.5.1.21|1.5.1.49	262
1.4.1.1|1.6.1.2	387
1.2.1.5|1.2.1.69	49
1.2.1.19|1.2.1.69	58
1.2.1.19|1.2.1.5	65
1.10.3.10|1.10.3.14	725
1.1.5.6|1.2.2.3	11
3.6.3.27|3.6.3.32	465
3.6.3.27|3.6.3.31	640
4.2.1.115|5.1.3.2	122
3.6.3.32|3.6.3.39	316
3.6.3.31|3.6.3.32	918
3.6.3.27|3.6.3.39	185
1.2.1.12|1.2.1.59	834
1.1.1.23|1.1.1.308	573
6.3.2.13|6.3.2.7	97
3.6.3.31|3.6.3.39	429
2.6.1.102|2.6.1.87	40
1.3.1.31|1.6.99.1	196
1.2.1.69|1.2.1.8	24
1.2.1.5|1.2.1.8	37
1.2.1.19|1.2.1.8	24
5.4.4.3|6.3.1.2	287
3.6.3.20|3.6.3.32	18
3.6.3.20|3.6.3.31	217
2.6.1.62|2.6.1.82	155
2.6.1.62|2.6.1.81	142
2.6.1.48|2.6.1.82	224
2.6.1.48|2.6.1.81	170
2.6.1.48|2.6.1.62	69
2.6.1.13|2.6.1.82	172
2.6.1.13|2.6.1.81	143
2.6.1.13|2.6.1.62	70
2.6.1.13|2.6.1.48	94
2.3.1.16|2.3.1.9	264
6.2.1.1|6.2.1.3	28
2.7.2.1|2.7.2.15	253
2.5.1.31|2.5.1.88	37
1.17.7.1|1.17.7.3	67
4.4.1.15|4.4.1.25	49
2.7.8.31|2.7.8.36	77
2.3.1.179|2.3.1.41	61
4.3.1.14|5.4.3.4	5
4.3.1.14|5.4.3.3	4
4.2.1.77|5.1.1.8	6
3.6.3.20|3.6.3.39	123
3.2.1.67|3.2.1.86	41
1.3.8.10|1.3.8.11	66
2.4.1.25|3.2.1.70	333
1.2.1.3|1.2.1.8	21
1.1.1.85|1.1.1.87	13
1.1.1.42|1.1.1.87	6
1.1.1.42|1.1.1.85	7
4.2.1.150|4.2.1.17	167
3.6.3.17|3.6.3.39	2
2.8.4.4|2.8.4.5	57
1.4.1.11|5.4.3.2	41
2.8.4.3|2.8.4.5	53
3.6.3.19|3.6.3.31	114
2.4.1.279|2.4.1.332	1
3.1.3.23|3.1.3.74	213
1.2.1.59|1.2.1.72	76
1.2.1.12|1.2.1.72	77
1.3.5.4|1.3.99.33	53
3.6.3.19|3.6.3.32	65
2.5.1.78|3.5.4.25	1
2.5.1.30|2.5.1.90	23
6.2.1.3|6.2.1.41	19
2.6.1.1|2.6.1.2	15
2.5.1.68|2.5.1.88	27
2.1.3.3|2.1.3.6	11
1.2.1.79|1.2.1.8	13
1.2.1.5|1.2.1.79	21
3.2.1.122|3.2.1.86	6
1.3.5.4|1.4.3.16	46
2.3.1.29|2.3.1.47	3
2.6.1.18|2.6.1.82	21
2.6.1.18|2.6.1.81	21
1.1.1.83|1.1.1.85	6
2.6.1.105|2.6.1.82	33
2.6.1.105|2.6.1.48	9
2.7.2.3|5.3.1.1	1
3.5.4.3|3.5.4.33	14
2.6.1.102|2.6.1.92	4
1.3.5.1|1.3.5.4	18
2.6.1.105|2.6.1.81	14
2.6.1.105|2.6.1.62	14
2.5.1.31|2.5.1.86	22
1.2.1.19|1.2.1.79	3
1.1.1.100|1.1.1.107	2
2.6.1.59|2.6.1.98	3
2.6.1.18|2.6.1.48	14
2.6.1.102|2.6.1.98	5
2.6.1.102|2.6.1.59	18
1.4.1.11|5.4.3.9	6
2.6.1.85|4.1.3.27	20
2.6.1.104|2.6.1.98	1
2.6.1.102|2.6.1.104	1
2.4.1.21|2.4.1.250	3
3.6.3.54|5.1.3.14	1
1.1.1.310|1.1.1.81	21
1.1.1.274|1.1.1.283	4
1.1.1.100|1.1.1.36	1
4.1.1.37|4.99.1.1	1
3.6.3.20|3.6.3.27	8
2.4.1.319|2.4.1.320	9
4.2.1.42|4.2.1.7	6
4.1.2.13|4.1.2.29	2
2.7.1.11|2.7.1.90	15
2.7.8.31|5.4.2.2	5
2.5.1.68|2.5.1.86	13
2.5.1.31|2.5.1.68	31
2.6.1.19|2.6.1.82	13
2.6.1.19|2.6.1.81	5
2.6.1.19|2.6.1.48	13
2.6.1.13|2.6.1.19	11
4.2.1.149|4.2.1.17	14
4.2.1.149|4.2.1.150	14
2.8.4.3|2.8.4.4	2
2.7.1.11|5.3.1.9	3
2.6.1.105|2.6.1.19	2
2.6.1.82|5.4.3.8	1
6.1.1.23|6.1.1.6	3
6.1.1.12|6.1.1.6	3
1.4.1.11|5.4.3.4	3
1.4.1.11|5.4.3.3	3
1.1.1.271|4.2.1.47	9
2.5.1.86|2.5.1.88	14
5.4.3.4|5.4.3.9	1
5.4.3.2|5.4.3.4	8
1.1.1.205|6.3.5.2	6
1.2.1.8|1.2.1.88	4
1.2.1.3|1.2.1.88	7
1.2.1.19|1.2.1.9	4
5.4.3.2|5.4.3.3	7
2.4.2.9|3.6.3.54	1
1.1.1.23|2.7.1.11	1
1.8.1.15|1.8.1.4	2
2.3.1.9|5.1.3.14	1
4.1.3.36|4.2.1.17	2
4.1.3.36|4.2.1.150	2
4.1.3.36|4.2.1.149	2
3.2.1.1|3.2.1.70	2
2.6.1.105|2.6.1.13	2
1.1.1.343|1.1.1.44	5
4.2.1.135|5.1.3.2	4
2.7.1.33|6.1.1.6	1
2.6.1.102|2.6.1.34	3
6.2.1.26|6.2.1.3	1
1.21.98.1|2.5.1.120	2
3.5.3.11|3.5.3.17	1
1.11.1.1|4.4.1.8	1
1.11.1.1|2.5.1.48	1
3.6.3.19|3.6.3.27	1
2.5.1.55|5.3.1.13	1
1.2.1.12|4.2.1.11	2
1.2.1.12|2.7.2.3	1
1.2.1.8|1.2.1.92	1
1.2.1.3|1.2.1.92	1
2.4.1.25|3.2.1.1	1
1.1.1.81|1.1.1.95	1
2.1.3.3|2.1.3.9	1
2.6.1.48|5.4.3.8	1
